"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58"
"1" 0 0.64 0.64 0 0.32 0 0 0 0 0 0 0.64 0 0 0 0.32 0 1.29 1.93 0 0.96 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.778 0 0 3.756 61 278 1
"3" 0.06 0 0.71 0 1.23 0.19 0.19 0.12 0.64 0.25 0.38 0.45 0.12 0 1.75 0.06 0.06 1.03 1.36 0.32 0.51 0 1.16 0.06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06 0 0 0.12 0 0.06 0.06 0 0 0.01 0.143 0 0.276 0.184 0.01 9.821 485 2259 1
"9" 0.15 0 0.46 0 0.61 0 0.3 0 0.92 0.76 0.76 0.92 0 0 0 0 0 0.15 1.23 3.53 2 0 0 0.15 0 0 0 0 0 0 0 0 0.15 0 0 0 0 0 0 0 0 0 0.3 0 0 0 0 0 0 0.271 0 0.181 0.203 0.022 9.744 445 1257 1
"10" 0.06 0.12 0.77 0 0.19 0.32 0.38 0 0.06 0 0 0.64 0.25 0 0.12 0 0 0.12 1.67 0.06 0.71 0 0.19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06 0 0 0 0 0.04 0.03 0 0.244 0.081 0 1.729 43 749 1
"13" 0 0.69 0.34 0 0.34 0 0 0 0 0 0 0.69 0 0 0 0.34 0 1.39 2.09 0 1.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.056 0 0.786 0 0 3.728 61 261 1
"14" 0 0 0 0 0.9 0 0.9 0 0 0.9 0.9 0 0.9 0 0 0 0 0 2.72 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.083 7 25 1
"15" 0 0 1.42 0 0.71 0.35 0 0.35 0 0.71 0 0.35 0 0 0 5.35 0 0 3.21 0 2.85 0 0.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.102 0 0.357 0 0 1.971 24 205 1
"19" 0 0 0.55 0 1.11 0 0.18 0 0 0 0 0 0.92 0 0.18 0 0.37 0.37 3.15 0 0.92 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.182 0 0.455 0 0 1.32 4 70 1
"21" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.729 0 0.729 0 0 3.833 9 23 1
"23" 0 0 0 0 2.94 0 0 0 0 0 0 0 0 0 0 2.94 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.404 0.404 0 0.809 0 0 4.857 12 34 1
"30" 0 0 0 0 0.65 0 0.65 0 0 0 0.65 0.65 0 0 0 0.65 1.3 0 1.3 5.22 1.3 0 0 0.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.459 0 0.091 0 0 2.687 66 129 1
"33" 0 0 0 0 1.89 0.27 0 0 0 0 0 0.81 0 0 0 0.27 0 0 3.51 0 2.7 0 0 0.27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.045 0 0 0.091 0 1.39 11 89 1
"37" 0 0 0 0 2.94 0 0 0 0 0 0 0 0 0 0 2.94 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.436 0.436 0 0.873 0 0 4.142 12 29 1
"38" 0 0 0.48 0 1.46 0 0.48 0 0 0 0 0.97 0 0 0 0.48 0.97 0 2.43 0 2.43 0 0.48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.48 0 0 0 0 0.081 0 0.488 0.244 0 5.431 78 239 1
"39" 0 0.48 0.48 0 0.48 0 0 0 0 0 0 0.97 0 0 0 0.48 0 0.97 1.46 0 0.97 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08 0 0.963 0 0 3.1 61 186 1
